Date,Count
2018-12-25,5
2018-12-26,11
2018-12-27,5
2018-12-28,2
2018-12-29,3
2018-12-30,5
2018-12-31,5
2019-1-3,5
2019-1-4,5
2019-1-19,3
2019-2-6,1
2019-2-10,2
2019-2-19,1
2019-2-23,2
2019-2-24,3
2019-2-26,1
2019-3-1,1
2019-3-10,2
2019-4-13,4
2019-4-24,1
2019-4-25,7
2019-4-29,2
2019-5-1,3
2019-5-13,5
2019-5-18,2
2019-5-21,1
2019-5-23,1
2019-6-15,2
2019-6-21,9
2019-6-22,6
2019-7-7,2
2019-7-18,3
2019-7-25,1
2019-8-1,3
2019-8-5,1
2019-8-8,1
2019-8-15,1
2019-8-18,4
2019-9-8,1
2019-9-17,1
2019-9-24,2
2019-10-15,2
2019-10-20,1
2019-10-27,6
2019-10-29,1
2019-11-5,2
2019-12-14,3
2019-12-15,2
2019-12-18,1
2019-12-20,3
